Time        Ax        Ay        Az        Gx        Gy        Gz        Pitch     Roll      
00:41:33    -0.10     -0.02     9.76      0.97      -0.84     0.11      -0.05     0.10      
00:41:33    -1.23     -0.28     9.53      0.87      -1.30     -1.65     -0.27     0.86      
00:41:33    0.33      0.74      9.82      -0.83     -1.28     0.04      0.13      0.55      
00:41:33    -0.12     0.51      9.51      1.34      1.09      -0.01     0.47      0.63      
00:41:33    -0.47     -0.08     9.68      0.35      0.32      -0.00     0.39      0.86      
00:41:33    -0.10     0.09      9.75      -0.47     -1.35     0.05      0.35      0.81      
00:41:33    0.33      0.43      9.85      -1.13     -0.09     -1.69     0.56      0.48      
00:41:33    -0.09     -0.11     9.44      -1.24     2.06      0.04      0.53      0.43      
00:41:33    -0.65     0.03      9.66      0.95      2.45      0.15      0.60      0.82      
00:41:33    -1.14     0.17      9.28      -0.82     2.37      -0.17     0.75      1.40      
00:41:33    0.08      0.29      9.82      0.76      2.45      -0.04     0.96      1.25      
00:41:33    -0.19     -0.36     9.79      0.38      0.16      0.02      0.66      1.26      
00:41:34    0.25      0.43      9.50      -1.18     -0.40     -0.07     0.83      0.93      
00:41:34    -0.27     -0.73     9.83      -0.40     2.05      0.05      0.42      0.98      
00:41:34    0.29      0.72      9.77      -2.44     -0.23     0.22      0.79      0.60      
00:41:34    -0.54     -0.00     9.64      0.02      1.27      -0.16     0.76      0.86      
00:41:34    0.00      0.51      9.87      -1.11     0.06      0.25      0.99      0.72      
00:41:34    -0.03     0.14      9.85      -0.50     0.01      0.03      0.97      0.65      
00:41:34    0.58      0.31      9.72      -0.69     -0.09     0.24      1.05      0.21      
00:41:34    -0.80     0.10      9.94      -0.65     0.09      0.19      1.01      0.62      
00:41:34    0.43      0.39      9.37      -1.05     1.20      0.18      1.20      0.25      
00:41:34    -0.64     0.02      9.73      0.81      -1.12     -0.13     1.04      0.63      
00:41:34    -0.10     -0.09     9.84      -0.38     0.58      0.19      0.91      0.61      
00:41:34    0.19      -0.53     9.36      0.77      -1.15     -0.06     0.45      0.47      
00:41:34    0.17      -0.02     9.62      0.73      -0.85     -0.01     0.35      0.35      
00:41:34    -0.95     0.24      10.00     -1.20     -0.12     0.01      0.45      0.81      
00:41:34    -0.31     0.53      9.72      -1.43     0.25      -0.18     0.73      0.85      
00:41:34    -0.97     0.13      9.71      -0.35     -1.09     0.03      0.69      1.32      
00:41:34    -0.34     0.05      9.83      0.37      0.24      -0.08     0.66      1.40      
00:41:35    0.11      -0.27     9.61      0.70      -0.69     -0.02     0.40      1.22      
00:41:35    -0.16     -0.03     9.63      -0.25     -0.83     -0.01     0.30      1.19      
00:41:35    0.30      0.24      9.79      0.71      0.24      -0.25     0.43      0.92      
00:41:35    -0.66     0.13      9.96      -0.06     2.40      0.13      0.57      1.21      
00:41:35    0.47      0.51      9.88      -0.02     -1.42     0.32      0.74      0.81      
00:41:35    -0.40     0.02      9.78      -0.36     -1.19     0.02      0.62      0.95      
00:41:35    0.16      0.47      9.93      -0.11     0.11      0.22      0.84      0.76      
00:41:35    0.07      -0.18     9.60      0.95      -0.61     0.00      0.62      0.68      
00:41:35    0.28      -0.49     9.49      0.63      -0.67     -0.10     0.23      0.47      
00:41:35    -0.96     0.66      9.45      -1.23     -0.94     0.14      0.56      0.95      
00:41:35    -0.78     0.02      9.61      0.74      -0.83     -0.08     0.48      1.35      
